accuracy,loss,val_accuracy,val_loss
0.8697435855865479,0.3638223707675934,1.0,0.00857022125273943
0.9989743828773499,0.00548646692186594,1.0,0.0011068576714023948
0.9943589568138123,0.016548333689570427,1.0,7.250304042827338e-05
1.0,0.001033365959301591,1.0,7.911255670478567e-05
1.0,0.0008040553657338023,1.0,0.00011826785339508206
1.0,0.0006944633787497878,1.0,1.0609099263092503e-05
1.0,0.00017058874072972685,1.0,3.6489734611677704e-06
1.0,9.765482536749914e-05,1.0,6.706063686579e-06
1.0,0.0001335014239884913,1.0,6.795736680942355e-06
1.0,8.386340050492436e-05,1.0,1.4272641237766948e-06
1.0,5.390306978370063e-05,1.0,7.651767646166263e-07
1.0,6.285562267294154e-05,1.0,1.1829923778350349e-06
1.0,0.00011764558439608663,1.0,3.985023795394227e-07
1.0,5.0287810154259205e-05,1.0,3.123380167835421e-07
0.9825640916824341,0.060716405510902405,1.0,2.7932372177019715e-05
0.9984615445137024,0.009220583364367485,1.0,0.0037463183980435133
0.9994871616363525,0.0025760915596038103,1.0,4.124745373701444e-06
1.0,0.00031277985544875264,1.0,3.5220386962464545e-06
1.0,0.00045488233445212245,1.0,1.5637509704902186e-06
